,date,name,cik,variable,value
104,2010-07-15,Chubb,896159.0,added_ticker,CB
264,2010-08-27,Johnson Controls,833444.0,added_ticker,JCI
445,2010-11-17,Trane Technologies,1466258.0,added_ticker,TT
185,2010-12-20,F5 Networks,1048695.0,added_ticker,FFIV
329,2010-12-20,Netflix,1065280.0,added_ticker,NFLX
165,2011-04-01,Edwards Lifesciences,1099800.0,added_ticker,EW
68,2011-04-04,BlackRock,1364742.0,added_ticker,BLK
103,2011-04-28,Chipotle Mexican Grill,1058090.0,added_ticker,CMG
297,2011-07-01,Marathon Petroleum,1510295.0,added_ticker,MPC
3,2011-07-06,Accenture,1467373.0,added_ticker,ACN
324,2011-09-26,The Mosaic Company,1285785.0,added_ticker,MOS
435,2011-10-17,TE Connectivity,1385157.0,added_ticker,TEL
498,2011-11-01,Xylem,1524472.0,added_ticker,XYL
368,2011-12-19,Perrigo,1585364.0,added_ticker,PRGO
72,2011-12-19,BorgWarner,908255.0,added_ticker,BWA
150,2011-12-19,Dollar Tree,935703.0,added_ticker,DLTR
130,2012-03-14,Crown Castle,1051470.0,added_ticker,CCI
371,2012-05-01,Phillips 66,1534701.0,added_ticker,PSX
273,2012-05-25,Kinder Morgan,1506307.0,added_ticker,KMI
321,2012-06-28,Monster Beverage,865752.0,added_ticker,MNST
279,2012-06-29,Lam Research,707549.0,added_ticker,LRCX
411,2012-07-02,Seagate Technology,1137789.0,added_ticker,STX
294,2012-09-05,LyondellBasell,1489393.0,added_ticker,LYB
364,2012-10-01,Pentair,77360.0,added_ticker,PNR
319,2012-10-02,Mondelez International,1103982.0,added_ticker,MDLZ
149,2012-12-03,Dollar General,29534.0,added_ticker,DG
206,2012-12-12,Garmin,1121788.0,added_ticker,GRMN
45,2012-12-24,Aptiv,1521332.0,added_ticker,APTV
1,2012-12-31,AbbVie,1551152.0,added_ticker,ABBV
387,2013-02-15,PVH,78239.0,added_ticker,PVH
397,2013-05-01,Regeneron Pharmaceuticals,872589.0,added_ticker,REGN
267,2013-05-24,Kansas City Southern,54480.0,added_ticker,KSU
212,2013-06-06,General Motors,1467858.0,added_ticker,GM
503,2013-06-21,Zoetis,1555280.0,added_ticker,ZTS
201,2013-07-01,Fox Corporation (Class A),1754301.0,added_ticker,FOXA
335,2013-07-09,Nielsen Holdings,1492633.0,added_ticker,NLSN
332,2013-08-01,News Corp (Class A),1564708.0,added_ticker,NWSA
139,2013-09-11,Delta Air Lines,27904.0,added_ticker,DAL
34,2013-09-23,Ametek,1037868.0,added_ticker,AME
470,2013-09-23,Vertex Pharmaceuticals,875320.0,added_ticker,VRTX
17,2013-12-02,Allegion,1579241.0,added_ticker,ALLE
186,2013-12-23,Facebook,1326801.0,added_ticker,FB
317,2013-12-23,Mohawk Industries,851968.0,added_ticker,MHK
444,2014-01-24,Tractor Supply Company,916365.0,added_ticker,TSCO
174,2014-04-02,Essex Property Trust,920522.0,added_ticker,ESS
20,2014-04-03,Alphabet (Class A),1652044.0,added_ticker,GOOGL
456,2014-05-01,Under Armour (Class A),1336917.0,added_ticker,UAA
76,2014-05-08,Broadcom,1730168.0,added_ticker,AVGO
301,2014-07-02,Martin Marietta Materials,916076.0,added_ticker,MLM
147,2014-08-07,Discovery (Series C),1437107.0,added_ticker,DISCK
462,2014-09-20,United Rentals,1067701.0,added_ticker,URI
463,2014-09-20,Universal Health Services,352915.0,added_ticker,UHS
406,2014-12-05,Royal Caribbean Group,884887.0,added_ticker,RCL
223,2015-01-27,HCA Healthcare,860730.0,added_ticker,HCA
417,2015-03-12,Skyworks Solutions,4127.0,added_ticker,SWKS
225,2015-03-17,Henry Schein,1000228.0,added_ticker,HSIC
220,2015-03-20,Hanesbrands,1359841.0,added_ticker,HBI
172,2015-03-20,Equinix,1101239.0,added_ticker,EQIX
26,2015-03-23,American Airlines Group,6201.0,added_ticker,AAL
395,2015-04-07,Realty Income Corporation,726728.0,added_ticker,O
388,2015-06-11,Qorvo,1604778.0,added_ticker,QRVO
261,2015-07-01,J. B. Hunt,728535.0,added_ticker,JBHT
275,2015-07-06,Kraft Heinz,1637459.0,added_ticker,KHC
7,2015-07-09,Advance Auto Parts,1158449.0,added_ticker,AAP
362,2015-07-20,PayPal,1633917.0,added_ticker,PYPL
4,2015-08-31,Activision Blizzard,718877.0,added_ticker,ATVI
459,2015-09-03,United Airlines,100517.0,added_ticker,UAL
202,2015-09-18,Fox Corporation (Class B),1754301.0,added_ticker,FOX
333,2015-09-18,News Corp (Class B),1564708.0,added_ticker,NWS
468,2015-10-08,Verisk Analytics,1442145.0,added_ticker,VRSK
228,2015-11-02,Hewlett Packard Enterprise,1645590.0,added_ticker,HPE
427,2015-11-18,Synchrony Financial,1601712.0,added_ticker,SYF
244,2015-11-19,Illumina,1110803.0,added_ticker,ILMN
105,2015-12-29,Church & Dwight,313927.0,added_ticker,CHD
494,2016-01-05,Willis Towers Watson,1140536.0,added_ticker,WLTW
183,2016-01-19,Extra Space Storage,1289490.0,added_ticker,EXR
111,2016-01-29,Citizens Financial Group,759944.0,added_ticker,CFG
188,2016-02-01,Federal Realty Investment Trust,34903.0,added_ticker,FRT
31,2016-03-04,American Water Works,1410636.0,added_ticker,AWK
453,2016-03-07,UDR,74208.0,added_ticker,UDR
95,2016-03-30,Centene Corporation,1071739.0,added_ticker,CNC
230,2016-03-30,Hologic,859737.0,added_ticker,HOLX
457,2016-04-08,Under Armour (Class C),1336917.0,added_ticker,UA
454,2016-04-18,Ulta Beauty,1403568.0,added_ticker,ULTA
216,2016-04-25,Global Payments,1123360.0,added_ticker,GPN
13,2016-05-13,Alaska Air Group,766421.0,added_ticker,ALK
144,2016-05-18,Digital Realty Trust,1297996.0,added_ticker,DLR
289,2016-05-23,LKQ Corporation,1065696.0,added_ticker,LKQ
48,2016-05-31,Arthur J. Gallagher & Co.,354190.0,added_ticker,AJG
446,2016-06-03,TransDigm Group,1260221.0,added_ticker,TDG
200,2016-06-22,Fortune Brands Home & Security,1519751.0,added_ticker,FBHS
18,2016-07-01,Alliant Energy,352541.0,added_ticker,LNT
14,2016-07-01,Albemarle Corporation,915913.0,added_ticker,ALB
199,2016-07-01,Fortive,1659166.0,added_ticker,FTV
310,2016-09-06,Mettler Toledo,1037646.0,added_ticker,MTD
101,2016-09-08,Charter Communications,1091667.0,added_ticker,CHTR
125,2016-09-23,The Cooper Companies,711404.0,added_ticker,COO
315,2016-12-02,Mid-America Apartments,912595.0,added_ticker,MAA
241,2017-01-05,Idexx Laboratories,874716.0,added_ticker,IDXX
245,2017-02-28,Incyte,879169.0,added_ticker,INCY
91,2017-03-01,Cboe Global Markets,1374310.0,added_ticker,CBOE
396,2017-03-02,Regency Centers,910606.0,added_ticker,REG
148,2017-03-13,Dish Network,1001082.0,added_ticker,DISH
428,2017-03-16,Synopsys,883241.0,added_ticker,SNPS
15,2017-03-20,Alexandria Real Estate Equities,1035443.0,added_ticker,ARE
393,2017-03-20,Raymond James Financial,720005.0,added_ticker,RJF
159,2017-04-04,DXC Technology,1688568.0,added_ticker,DXC
207,2017-04-05,Gartner,749251.0,added_ticker,IT
242,2017-06-02,IHS Markit,1598014.0,added_ticker,INFO
229,2017-06-19,Hilton Worldwide,1585689.0,added_ticker,HLT
179,2017-06-19,Everest Re,1095073.0,added_ticker,RE
16,2017-06-19,Align Technology,1097149.0,added_ticker,ALGN
38,2017-06-19,Ansys,1013462.0,added_ticker,ANSS
57,2017-07-07,Baker Hughes,1701605.0,added_ticker,BKR
41,2017-07-26,A. O. Smith,91142.0,added_ticker,AOS
311,2017-07-26,MGM Resorts International,789570.0,added_ticker,MGM
400,2017-07-26,ResMed,943819.0,added_ticker,RMD
157,2017-07-26,Duke Realty Corp,783280.0,added_ticker,DRE
358,2017-07-26,Packaging Corporation of America,75677.0,added_ticker,PKG
257,2017-08-29,IQVIA,1478242.0,added_ticker,IQV
