,SYMBOL,exp_return,discounted_return,qtr_return,sell_date,stop_loss_price,days_delta,disc_rtn,qtr_rtn,outer_cv_avg_abs_err_n11,outer_cv_std_n11,mean_revert_flag,yhat_upper,yhat_lower,90d_upper,21dBOLU,90dSMA,90d_lower,21dMA-TP,90dSDev,21dBOLD,20td_tot_daily_vol,20td_trend_vol,20td_trend_vol,20td_trend_vol_factor,20td_tvf_rng_div_2,20td_tvf_vel,Adj Close,Date,Index Symbol,MIN_Lookback_1_Months,MIN_Lookback_2_Months,MIN_Lookback_One_Year,Market Index,Sector,Sector Symbol,adf,beta,buy_volume_pct,currentRatio,daily_buy_vol,daily_sell_vol,debtToEquity,dividendRate,dividendYield,earningsGrowth,earningsQuarterlyGrowth,ebitda,ebitdaMargins,exDividendDate,forwardEPS,forwardPE,freeCashflow,grossMargins,grossProfits,heldPercentInstitutions,hurst,industry,lastDividendDate,lastDividendValue,lastSplitDate,lastSplitFactor,marketCap,net_daily_vol,operatingCashflow,operatingMargins,payoutRatio,pegRatio,priceToBook,priceToSalesTrailing12Months,profitMargins,quickRatio,returnOnAssets,returnOnEquity,revenueGrowth,revenuePerShare,risk_per_share,risk_trend_factor,sector_20td_tvf_vel,sell_volume_pct,sharesOutstanding,shortRatio,totalAssets,totalCash,totalCashPerShare,totalDebt,totalRevenue,trailingAnnualDividendRate,trailingAnnualDividendYield,trailingEPS,trailingPE,volume_factor,outer_cv_avg_abs_err_n11_ratio,outer_cv_std_n11_ratio
CSL,CSL,0.05098825858830492,0.0008884465810443665,1.0851310872437758,2022-09-16,248.16272403161253,56,0.0008884465810443665,1.0851310872437758,380.3987282548307,268.4489427767519,False,307.62478103261384,254.1614316349509,270.5697764810287,265.1152591478364,250.62694380018445,230.68411111934017,247.72555469331286,9.971416340422145,230.33585023878933,7050000.0,2714340.953923918,2714340.953923918,0.38501290126580395,0.18585642435482946,2.0715608976246798,267.4100036621094,2022-07-21,MDYG,275.1300048828125,275.1300048828125,202.35000610351562,SP400,Industrials,VIS,0.9846740593620538,0.979991,0.95638305215102,1.875,311972.15161166276,-14227.848388337261,109.341,2.16,0.0081,2.778,2.709,1004600000,0.18722999,1652659200,error,13.80384,163500000,0.29288,1324400000,0.93411005,0.43937437376788624,Building Products & Equipment,1652659200,0.54,1174348800,2:1,13751800832,297744.3032233255,402400000,0.14606,0.2141,0.99,5.108802,2.562909,0.104940005,1.151,0.07492,0.2091,0.59,102.644,43.02998352050781,1.1531492939926165,1.1789020459441852,-0.04361694784897995,51698500,2.09,,291700000,5.659,2928800000,5365700096,2.145,0.00802139,error,26.546906,1.1017564213239104,1.4225299092979715,1.0038851916548166
DLTR,DLTR,0.048861852317508364,0.0005680854196365992,1.0536380858117542,2022-10-14,151.12220040438316,84,0.0005680854196365992,1.0536380858117542,464.5570937315548,396.0239576215137,False,208.89800586230547,156.31478530479495,179.34643640822003,175.35496081082258,158.76138959612166,138.1763427840233,163.00428626650856,10.292523406049188,150.65361172219454,40243400.0,13609618.83458374,13609618.83458374,0.33818262956369843,0.1521852274660862,2.2221777710918817,171.67999267578125,2022-07-21,SPY,177.19000244140625,177.19000244140625,120.37000274658203,SP500,Consumer Defensive,VDC,0.7779324302995144,0.685398,0.74782520719618,1.464,2440303.2161225746,-822896.7838774254,120.278,,,0.481,0.432,2793100032,0.10444,,error,18.357523,83287504,0.3037,7746100000,1.01193,0.43296448722149694,Discount Stores,,,1340755200,2:1,38625878016,1617406.4322451493,1413799936,0.07706,0,1.28,4.7064133,1.4442766,0.055710003,0.284,0.05933,0.19035,0.065,118.376,44.779998779296875,0.899731386696162,0.6846740878625179,-0.25217479280382,224556000,1.86,,1218499968,5.426,9912699904,26744100864,0,0,error,26.141336,0.7864227242970792,2.705947772311907,2.3067566083218995
PPC,PPC,0.04138025508261917,0.0008278322925814319,1.0791018386011804,2022-09-09,25.85737604564172,49,0.0008278322925814319,1.0791018386011804,29.551971021268695,29.821930436186175,False,37.95330800079129,28.640960643446743,33.67765683320011,32.05797296886976,30.294483941698832,26.911311050197554,30.727618928939574,1.6915864457506398,29.39726488900938,14852200.0,2797156.2893003887,2797156.2893003887,0.188332791727851,0.13728847821745568,1.3718033310089182,31.780000686645508,2022-07-21,MDYG,34.65999984741211,31.209999084472656,26.280000686645508,SP400,Consumer Defensive,VDC,0.3823410802201825,0.943738,0.8514855598633507,1.532,594422.0693406052,-103677.93065939481,134.448,,,1.805,1.799,1530477952,0.09721,1462492800,error,9.805079,862083264,0.10458,1365827000,0.18287,0.5585340297643512,Packaged Foods,1462492800,2.75,933552000,3:2,7375703552,490744.13868121034,697006016,0.07203,0,0.63,2.6782355,0.46846437,0.01342,0.724,0.08438,0.07645,0.295,64.613,5.590000152587891,0.5706623174114652,0.6846740878625179,-0.14851444013664922,240330000,2.05,,725539968,3.019,3755959040,15744428032,0,0,error,34.874886,0.9640892938484513,0.9298920825287122,0.9383867146585008
CACI,CACI,0.03508352310976618,0.0008213400227132794,1.0784580262976338,2022-09-02,266.9392042927725,42,0.0008213400227132794,1.0784580262976338,1370.1416679299493,1765.9252350759684,False,329.6352968624005,266.52011861076477,294.6437660559526,293.47126733963324,274.6700407966735,254.69631553739444,280.2496831984747,9.986862629639532,267.0280990573162,2715800.0,621557.7997031267,621557.7997031267,0.22886729497869013,0.09385894543644002,2.4384174988805505,287.1700134277344,2022-07-21,MDYG,313.5199890136719,313.5199890136719,269.6700134277344,SP400,Technology,VGT,0.44574465239960814,0.919114,0.9506904065392996,1.287,88319.13876750093,-4580.861232499067,73.872,,,-0.155,-0.207,619780992,0.10119,,error,14.395492,498206496,0.34465,2113428000,0.90349996,0.3044947696178308,Information Technology Services,,,1007683200,2:1,6578968576,83738.27753500186,684712000,0.07977,0,6.56,2.2220817,1.0741776,0.06707,1.059,0.04867,0.14992,0.021,260.311,38.800018310546875,-0.907214808254529,1.3250579108620273,-0.0493095934607004,23412700,3.15,,125074000,5.342,2187264000,6124656128,0,0,error,16.500294,0.7676447147210573,4.771186418719663,6.149406806084784
ASH,ASH,0.03214729711145191,0.0005651844178733434,1.053357074796974,2022-09-16,99.0640297661341,56,0.0005651844178733434,1.053357074796974,103.53486850677508,75.70412669421133,False,121.02775329869051,96.98681424356306,109.72532474162566,105.7951492381616,102.02015873742482,94.31499273322399,101.23174576532273,3.8525830021004146,96.66834229248386,9527700.0,2048520.0958003993,2048520.0958003993,0.21500677978949792,0.09510910485903303,2.260632986801553,105.06999969482422,2022-07-21,MDYG,112.91000366210938,111.05000305175781,95.95999908447266,SP400,Basic Materials,VAW,0.4720174851326583,1.281372,0.9509798543931385,2.5,493843.83838635683,-25456.161613643162,43.153,1.2,0.012200001,19.944,18.171,491000000,0.21832001,1646006400,error,18.666666,608374976,0.33169997,673000000,1.00862,0.37100223189782494,Specialty Chemicals,error,,1494806400,511:250,5959447552,468387.67677271366,341000000,0.10849,0.41099998,1.23,2.1689692,2.649821,0.42551997,1.667,0.02269,0.05389,0.187,38.776,19.14000701904297,-0.24608176523556444,0.801046183938554,-0.04902014560686147,56908400,2.45,,964000000,17.677,1459000064,2248999936,1.15,0.011113258,error,29.169918,1.0409670664433206,0.9853894432996295,0.7205113440001326
BCOR,BCOR,0.031764377761196935,0,1,2022-07-22,16.876031634869733,0,0,1,28.989413822982474,27.581147456152646,False,26.03749302017774,15.783477642733443,20.464967973900002,19.300801989881048,17.865436493404328,15.265905012908654,18.367301577613468,1.2997657402478369,17.433801165345887,6577500.0,2414444.276204428,2414444.276204428,0.36707628676616166,0.1131860151273195,3.243124041015568,19.43000030517578,2022-07-21,SLY,21.399999618530273,21.399999618530273,18.829999923706055,SP600,error,error,0.5090416576240513,error,1.0,error,190400.0,0.0,error,error,error,error,error,error,error,error,error,error,error,error,error,error,0.5182490400053807,error,error,error,error,error,error,190400.0,error,error,error,error,error,error,error,error,error,error,error,error,3.630000114440918,-0.9201096804245348,error,0.0,error,error,error,error,error,error,error,error,error,error,error,0.914041417697132,1.4919924533022395,1.4195134854838656
SAFT,SAFT,0.024802244701863548,0.0008753708414108718,1.0838276428967,2022-08-19,87.4698034876446,28,0.0008753708414108718,1.0838276428967,81.93949732905683,70.97199353640666,False,102.23050995692927,86.96370428620587,99.4764388423327,99.72520465835954,90.641999774509,81.80756070668531,95.08539690290179,4.417219533911845,90.44558914744404,1420600.0,286277.02145591093,286277.02145591093,0.2015183876220688,0.09320655623338699,2.1620623673454,92.05999755859375,2022-07-21,SLY,94.4800033569336,93.18000030517578,87.9800033569336,SP600,error,error,0.470153975289517,error,0.8280227229654539,error,58624.00878595413,-12175.991214045864,error,error,error,error,error,error,error,error,error,error,error,error,error,error,0.42305807707453064,error,error,error,error,error,error,46448.01757190827,error,error,error,error,error,error,error,error,error,error,error,error,12.339996337890625,0.04375898030700594,error,-0.1719772770345461,error,error,error,error,error,error,error,error,error,error,error,1.0595787074563419,0.8900662557252895,0.7709319511032451
LLY,LLY,0.02106750263446665,0.00027079836357835063,1.0252229250504312,2022-10-07,292.2600563806838,77,0.00027079836357835063,1.0252229250504312,720.6991460994171,644.0066734479628,False,374.16820704373475,300.24286338368063,337.65131770192266,336.13814313198674,305.74898492722286,273.84665215252306,323.848888094463,15.951166387349897,311.5596330569393,50300000.0,11191636.919066185,11191636.919066185,0.2224977518701031,0.11620806531566957,1.9146498245685994,326.9200134277344,2022-07-21,SPY,324.0799865722656,314.0,244.5500030517578,SP500,Healthcare,VHT,0.9945280715621027,0.430392,0.8645114075049857,1.267,1462839.7526391863,-229260.24736081378,174.931,3.92,0.0134000005,0.409,0.404,10721399808,0.36563,1652400000,error,43.891857,4736287744,0.7556,21345300000,0.84303004,0.40977676337649677,Drug Manufacturers—General,error,,876960000,2:1,314479607808,1233579.5052783727,8062499840,0.30993998,0.5245,5.44,38.4413,10.724748,0.20903,0.772,0.12117,0.74018997,0.148,32.376,52.220001220703125,1.8791659970370718,1.2378773739857383,-0.13548859249501435,956592000,1.74,,2571599872,2.857,16551999488,29322799104,3.29,0.010216439,error,50.190838,0.7860327924650861,2.2045121635195564,1.9699212253651777
VRTX,VRTX,0.019908006364092297,0.0005633710164369976,1.053181453896634,2022-08-26,259.66598861242824,35,0.0005633710164369976,1.053181453896634,1791.6602214797365,1900.1889529606067,False,318.9592089812442,262.45200867285934,301.003290360573,297.05779812679407,269.9720655168806,238.94084067318823,286.477303156777,15.515612421846189,275.8968081867599,35387900.0,10337293.809693335,10337293.809693335,0.29211379623242223,0.14854278645891408,1.9665296659371534,283.1099853515625,2022-07-21,SPY,292.75,292.75,234.5800018310547,SP500,Healthcare,VHT,0.5264073159949898,0.494252,0.34745591757141897,4.752,361354.1542742757,-678645.8457257244,7.999,,,0.189,0.167,3061199872,0.38516998,,error,18.153498,1882163968,0.47709,3619100000,0.9396,0.4317700822479135,Biotechnology,,,967075200,2:1,71685849088,-317291.69145144866,2678700032,0.36848,0,2.53,6.5678606,9.019811,0.30841,4.372,0.13881,0.2465,0.216,30.97,53.66999816894531,0.5449963708133216,1.2378773739857383,-0.6525440824285811,255756000,1.73,,8238099968,32.211,872499968,7947599872,0,0,error,29.84984,0.9527718411515288,6.3284953346130655,6.711840102004793
LRN,LRN,0.014296359112021886,0.002029933221345148,1.2051024252763958,2022-07-29,35.96600983994796,7,0.002029933221345148,1.2051024252763958,63.37352733019299,79.35310423545955,False,58.39110949040528,34.13823216250415,43.33290945046488,45.21675790600005,38.31928563496423,33.30566181946358,40.234285808744886,2.506811907750327,35.251813711489724,29422600.0,8567464.771053903,8567464.771053903,0.2911865290985128,0.23970523722358755,1.2147691576171342,43.66999816894531,2022-07-21,SLY,41.84000015258789,41.20000076293945,35.86000061035156,SP600,Consumer Defensive,VDC,0.36275201994353923,0.374773,0.42424067277403693,3.484,305750.25286824844,-414949.74713175156,73.762,,,0.789,0.804,187922000,0.11536,,error,14.89313,127596624,0.34427,530200000,0.96866,0.4950123767969746,Education & Training Services,,,,,1668218240,-109199.49426350312,204431008,0.08332,0,0.81,2.0736568,1.0240971,0.054959998,3.167,0.054569997,0.114250004,0.075,39.653,10.920001983642578,1.1089735147573214,0.6846740878625179,-0.575759327225963,42752900,6.27,,369764000,8.917,575761024,1628964992,0,0,error,18.148836,1.6948582702550998,1.451191435479823,1.8171080275402731
MLI,MLI,0.0048214812199365905,5.7262295445559275e-05,1.0052818805605652,2022-10-14,55.83860072189168,84,5.7262295445559275e-05,1.0052818805605652,40.28157556816136,28.112776982823835,False,76.07231379559555,53.51747161917045,59.44675328455159,60.43243191809504,54.352698386661594,49.2586434887716,54.1433335561601,2.547027448944999,47.85423519422516,6313600.0,1856654.0156184519,1856654.0156184519,0.2940721641564958,0.20691586266782663,1.4212161424693956,63.04999923706055,2022-07-21,SLY,63.06999969482422,63.06999969482422,48.060001373291016,SP600,Industrials,VIS,0.9458396017786683,1.053639,0.859813400643151,3.19,419159.0328135361,-68340.96718646388,1.544,1,0.0162,0.901,0.898,875238976,0.21354,1654128000,error,8.531034,436627360,0.2592,830356000,0.95298,0.4434466987345042,Metal Fabrication,1654128000,0.25,1396224000,2:1,3505886720,350818.06562707224,506955008,0.20263,0.0652,0.48,2.3230047,0.8553762,0.16138001,1.944,0.2706,0.52845,0.136,73.168,13.319999694824219,1.1223721689762005,1.1789020459441852,-0.140186599356849,56683700,8.42,,202500992,3.572,23867000,4098649088,0.76,0.012053926,error,5.309013,1.1858904051330748,0.6388830460839087,0.44588068712139256
CCRN,CCRN,0.004540227341279219,5.392944938087396e-05,1.00497370356537,2022-10-14,21.462324703411085,84,5.392944938087396e-05,1.00497370356537,43.08995798567589,52.43079688885765,False,40.671381982302506,22.901766581161695,26.427962437857207,29.792767383392086,19.623531674581862,12.819100911306517,23.00523815457783,3.402215381637673,16.217708925763578,12637600.0,5541601.958825881,5541601.958825881,0.4385011361987941,0.09489060903912662,4.621122581455718,30.440000534057617,2022-07-21,SLY,30.399999618530273,30.399999618530273,18.899999618530273,SP600,Healthcare,VHT,0.9713807156754378,0.929757,0.9551283853921498,2.444,613287.9362602994,-28812.06373970062,65.704,,,2.075,2.187,225902000,0.105749995,,error,8.706896,-133688496,0.22392,374999000,0.95816004,0.421621424839554,Medical Care Facilities,,,,,964900992,584475.8725205988,-89729000,0.10092,0,0.15,2.6550999,0.45170245,0.081709996,2.415,0.19832,0.65893996,1.396,57.889,14.25,0.8154387892338267,1.2378773739857383,-0.04487161460785021,38213900,6.37,,1208000,0.032,233955008,2136142976,0,0,error,6.575521,1.833562656188023,1.4155702112246988,1.722430879401456
FCN,FCN,-0.0005066119579287565,-2.4130200725114292e-05,0.9977824571377444,2022-08-12,168.89849613578514,21,-2.4130200725114292e-05,0.9977824571377444,262.13396497712193,276.2989268988054,False,200.3818996395889,167.33414065939877,190.27562851205718,194.30090004096434,170.40869049798874,150.5417524839203,182.2634921603733,9.933469007034219,170.22608427978224,5773200.0,1639351.9643281875,1639351.9643281875,0.2839589767075777,0.08400557974252873,3.3802394743050668,184.27999877929688,2022-07-21,MDYG,172.69000244140625,170.64999389648438,147.3800048828125,SP400,Industrials,VIS,0.9707559227487812,0.428312,0.5874633266381509,2.395,188810.71318150172,-132589.28681849828,36.191,,,-0.098,-0.08,347764992,0.1236,,error,21.6913,171587632,0.31042,860715000,1.0715699,0.4006166951368581,Consulting Services,,,1054771200,3:2,6273213440,56221.42636300344,318288992,0.1075,0,3.34,3.7798042,2.2296317,0.08167,2.147,0.06601,0.15126,0.054,83.929,29.989990234375,2.0713576307198855,1.1789020459441852,-0.412536673361849,34470100,7.12,,271143008,8.049,587020992,2813564928,0,0,error,27.700151,0.9234344374963259,1.422476485313346,1.4993430037391908
GCP,GCP,-0.0046084022086195775,-0.0006596471414844762,0.9410984124728273,2022-07-29,28.855554153648903,7,-0.0006596471414844762,0.9410984124728273,15.333270140251908,19.34577987733778,False,37.09549719413744,27.029611651573205,31.842264703101243,31.96149599593034,31.22801583153861,30.613766959975976,31.525476152934726,0.3071244357813163,31.089456309939113,14766500.0,1273450.4655875291,1273450.4655875291,0.08623915386770928,0.12504425154347298,0.6896690795716212,31.6299991607666,2022-07-21,SLY,32.279998779296875,32.279998779296875,27.780000686645508,SP600,Basic Materials,VAW,0.20541010892065398,0.918137,0.8181755128227358,3.715,398615.1098472369,-88584.89015276308,59.577,,,,,130800000,0.13483,,error,32.56701,16100000,0.3545,343900000,0.87219,0.45747562167723804,Specialty Chemicals,error,,,,2322370560,310030.2196944738,49100000,0.087519996,0,,3.496403,2.3939497,0.02185,3.008,0.037049998,0.03288,0.007,13.217,1.1700000762939453,2.1794863852811384,0.801046183938554,-0.18182448717726413,73516000,10.69,,500600000,6.766,400300000,970099968,,,error,127.379036,1.755573923551616,0.48476985605712813,0.6116275811140081
Y,Y,-0.005357833793645276,-0.00019184725424847837,0.9825032369344263,2022-08-19,762.1843419655245,28,-0.00019184725424847837,0.9825032369344263,10545.723378022074,12566.66462868491,False,917.8861591628367,760.2488232140967,838.1362338597323,836.1158908496377,833.6559114002046,829.1755889406768,833.7090454101562,2.240161229763877,831.3021999706748,1932600.0,-510800.1113314181,-510800.1113314181,-0.2643072085953731,0.13090535806335413,-2.0190709723849243,836.8400268554688,2022-07-21,MDYG,862.8699951171875,862.8699951171875,737.8900146484375,SP400,Financial Services,VFH,0.47983056809825636,0.629203,0.6729032380735079,1.597,44613.48468427358,-21686.51531572643,31.5,,,-0.433,-0.454,1620000000,0.13423,1583280000,error,9.937686,90016496,0.44210997,5101669000,0.87086,0.466228523845684,Insurance—Property & Casualty,1583280000,15,1301443200,102:100,11222328320,22926.96936854715,1928840960,0.11935,0,0.15,1.3056233,0.9298377,0.0771,1.004,0.02938,0.11868,0.025,878.577,10.3900146484375,4.512994184338836,0.8638976210886575,-0.3270967619264921,13454900,4.46,,2298860032,170.857,2822777088,12069126144,0,0,error,12.351104,1.239649742019386,12.60183910854378,15.016806349363721
CNC,CNC,-0.007934380525024468,0,1,2022-07-22,84.95246950685382,0,0,1,114.08170521684683,119.58940794986421,False,100.12747471737929,80.74065086995434,90.22778399661539,91.18374749425877,83.23865112425788,76.24951825190038,86.16857219877697,3.4945664361787534,81.15339690329517,56251200.0,10824338.295264482,10824338.295264482,0.19242857566175445,0.10569129355159981,1.820666293272382,90.51000213623047,2022-07-21,SPY,89.91999816894531,89.91999816894531,75.58999633789062,SP500,Healthcare,VHT,0.5837788642330672,0.47765,0.8992809704155003,1.048,2493975.9152533067,-279324.084746693,82.643,,,0.21,0.215,5330999808,0.04291,,error,14.4578705,4853875200,0.17058,19574000000,0.96181,0.3903049660344064,Healthcare Plans,,,1549497600,2:1,53189623808,2214651.8305066135,5312999936,0.03079,0,1.39,1.9576356,0.42810962,0.01205,0.979,0.03122,0.05526,0.215,213.047,16.76000213623047,0.9606212220048826,1.2378773739857383,-0.1007190295844997,584886976,2.9,,12904999936,22.064,22669000704,124243001344,0,0,error,35.80315,0.8022126376182028,1.2604320243539227,1.321283892689176
CALM,CALM,-0.0120481446495133,-0.0001923832669484815,0.9824547784720693,2022-09-23,45.2231557298285,63,-0.0001923832669484815,0.9824547784720693,33.795922252178194,54.251728156397064,False,59.75605298034559,47.8848958091203,56.368164443378305,54.972911171149825,49.80690780518547,43.24565116699263,51.18730151464068,3.28062831909642,47.401691858131535,13626200.0,3655761.6448362605,3655761.6448362605,0.26828915213605115,0.10830290303299568,2.4772110868931545,54.0,2022-07-21,SLY,59.95000076293945,59.95000076293945,43.2400016784668,SP600,Consumer Defensive,VDC,0.08971969716581285,-0.164705,0.8680563833986336,4.307,1475435.4348626575,-224264.5651373425,0.161,0.5,0.0099,1.896,1.917,50741000,0.03308,1650931200,error,48.25,-73112872,0.117410004,160857000,0.89685,0.38567430487334936,Farm Products,error,,1414972800,2:1,2640210688,1251170.869725315,32231000,-0.01,0.0919,0.12,2.6469436,1.7211361,0.01201,2.28,-0.00763,0.01791,0.33,31.431,10.490001678466797,-0.10867521658131177,0.6846740878625179,-0.13194361660136641,44056600,5.66,,96714000,1.976,1661000,1533992960,0.034,0.00063670415,error,error,1.5732178469830957,0.6258504120773739,1.0046616325258715
JKHY,JKHY,-0.012337410693754183,-0.00025331787615889834,0.9769613408911018,2022-09-09,185.41491448182535,49,-0.00025331787615889834,0.9769613408911018,243.55562476706484,194.38186793252757,False,212.48019253433225,181.45419452293413,197.03301014441675,196.39322598667252,183.94421780298626,170.85542546155577,185.10301596020895,6.544396170715251,173.81280593374538,8852500.0,3210263.5982024465,3210263.5982024465,0.362639209059864,0.18149832325746554,1.9980306294369452,198.69000244140625,2022-07-21,SPY,205.3699951171875,205.3699951171875,179.97999572753906,SP500,Technology,VGT,0.5425595563028978,0.583652,1.0,1.471,418800.0,0.0,20.995,1.96,0.010299999,0.224,0.186,520670016,0.27253,1653523200,error,36.50669,266972624,0.41548002,694826000,0.93648005,0.393632575334297,Information Technology Services,1653523200,0.49,983750400,2:1,13911502848,418800.0,497211008,0.24451,0.384,2.74,10.469376,7.281607,0.18809,0.898,0.13024001,0.27181998,0.103,25.945,27.990005493164062,0.19114041844726723,1.3250579108620273,0.0,72861800,4.06,,39797000,0.546,278948000,1910498944,1.87,0.009843142,error,39.205338,0.8452320141289102,1.2258071456760362,0.9783173060750797
DGII,DGII,-0.014158691686524366,-0.00018517612873003575,0.9831065408045087,2022-10-07,21.543852027183075,77,-0.00018517612873003575,0.9831065408045087,26.049442040285193,30.3454785786621,False,33.16956082794483,20.795725347871997,26.895723572628626,26.268802700150427,22.62698411184644,18.358244651064254,24.277301485576327,2.1343697303910925,22.285800271002227,3829100.0,1677670.4683726304,1677670.4683726304,0.43813702132945875,0.19002980035435393,2.3056226997684166,26.850000381469727,2022-07-21,SLY,26.030000686645508,25.6299991607666,25.610000610351562,SP600,Technology,VGT,0.9053278233121822,1.386973,0.9245299994241953,1.865,141730.44891172915,-11569.551088270859,61.653,,,-0.111,-0.028,57101000,0.16936001,,error,15.000001,43410876,0.56356996,171155000,0.90342003,0.43587815956710746,Communication Equipment,,,702086400,3:2,942026880,130160.89782345829,32422000,0.08788,0,0.93,1.9601402,2.7940469,0.03494,1.209,0.02507,0.02507,0.225,9.79,6.670000076293945,0.4917542202590162,1.3250579108620273,-0.07547000057580469,35084800,4.81,,41386000,1.18,296246016,337155008,0,0,error,76.71429,1.0892749900588554,0.9701840473068659,1.1301854058670608
GPC,GPC,-0.014511754075211747,-0.0001740096142544001,0.9841172057161776,2022-10-14,124.46110324011653,84,-0.0001740096142544001,0.9841172057161776,223.27657675200692,184.19803191730523,False,156.5900962895095,125.51800172017799,141.80084413190107,142.3020174424732,134.16951788039435,126.53819162888765,136.51253909156435,3.8156631257533538,130.7230607406555,14661700.0,3890248.9118524706,3890248.9118524706,0.2653340957632792,0.2008294851502276,1.3211909375000381,142.5500030517578,2022-07-21,SPY,142.97000122070312,142.97000122070312,135.92999267578125,SP500,Consumer Cyclical,VCR,0.8639069750804705,0.965942,0.9507433966235211,1.162,618458.5795036005,-32041.420496399525,120.713,3.58,0.0248,0.147,0.129,1667291008,0.084630005,1654128000,error,17.34574,544836864,0.35147998,6634136000,0.80871004,0.4430097450417986,Specialty Retail,1654128000,0.895,861062400,3:2,20459063296,586417.159007201,1356151040,0.0691,0.5178,3.96,5.6910477,1.0385084,0.04705,0.379,0.05631,0.26697,0.186,137.948,15.699996948242188,0.3681538319491892,1.1928906715875458,-0.0492566033764789,141595008,1.52,,610776000,4.314,4355192832,19700430848,3.34,0.023430374,error,22.401552,1.0059866429086164,1.5663035564505634,1.2921643491682397
MGPI,MGPI,-0.016533406886373114,-0.00019845184246480851,0.9819063111199464,2022-10-14,91.8267337751264,84,-0.00019845184246480851,0.9819063111199464,124.3720628140164,88.02339776787399,False,121.86892221226125,84.16584331004474,104.60410237909453,107.65645123332084,96.09608695620582,87.58807153331712,99.96746063232422,4.254007711444355,92.2784700313276,3027300.0,470264.2939815693,470264.2939815693,0.1553411601035805,0.16029654464963095,0.9690861424562726,102.83000183105469,2022-07-21,SLY,104.0,104.0,76.68000030517578,SP600,Consumer Defensive,VDC,0.8421238257278987,1.275,0.4150946888296177,4.134,66456.6596816218,-93643.34031837822,37.758,0.48,0.0047,1.041,1.74,116773000,0.18632,1652918400,error,24.266502,-76032496,0.28351,177681000,0.79681,0.47440562924132923,Beverages—Wineries & Distilleries,error,,1089936000,2:1,2179956736,-27186.680636756428,88263000,0.15586,0.0936,1.39,3.5435038,3.4783583,0.14569001,1.347,0.08672,0.20030001,0.653,30.248,19.25,1.2368833863890016,0.6846740878625179,-0.5849053111703824,21964300,18.09,,21568000,0.982,243260992,626720000,0.48,0.0046207164,error,27.37176,1.3199438176101872,1.20949198287825,0.8560089098558287
ACHC,ACHC,-0.0194780195547074,-0.002806086417211473,0.7721913947901042,2022-07-29,63.30305155389413,7,-0.002806086417211473,0.7721913947901042,262.31100206224716,229.28514270399197,False,94.34469913829874,57.154847993672234,76.10558195050403,78.0900254652323,70.11980199056958,64.13402203063514,72.20698426261781,2.992889979967221,66.32394306000332,11016700.0,2092705.9233086412,2092705.9233086412,0.18995760284918725,0.1356549938793961,1.4002993728197637,75.36000061035156,2022-07-21,MDYG,76.69000244140625,76.69000244140625,68.0,SP400,Healthcare,VHT,0.8810245575856803,1.399509,0.25229494255206714,1.223,250579.33694271307,-742620.663057287,63.852,,,,,503291008,0.21746,,error,26.571917,1145051136,0.42339,979888000,1.02562,0.475535426101445,Medical Care Facilities,error,,1320105600,1:4,6978102784,-492041.3261145739,374476992,0.17135,0,2.18,2.836825,3.0150883,0.082370006,1.082,0.04399,0.09177,0.096,26.072,14.450000762939453,0.3252592872033941,1.2378773739857383,-0.7477050574479329,89935600,4.34,,133813000,1.488,1649206016,2314394112,,,error,error,1.0677793368607755,3.4807722921676265,3.042531062194511
SNEX,SNEX,-0.03401621467965573,0,1,2022-07-22,76.61560877372273,0,0,1,63.27668304935476,46.027544545640296,False,94.04099606167462,68.30700772747802,82.79991465856808,84.50494559015235,74.61452390277196,66.42913314697584,77.73936522953095,4.092695377898062,70.97378486890955,1598800.0,361362.32462294225,361362.32462294225,0.22602096861580076,0.08970473364299257,2.5196102751424507,83.0,2022-07-21,SLY,81.05000305175781,77.5,70.47000122070312,SP600,Financial Services,VFH,0.8425247126789406,1.072058,0.7142865337731249,1.096,71857.22529757637,-28742.774702423634,865.897,,,1.082,1.138,,0,,error,11.754261,,0.0238,1077400000,0.76698,0.3706369538615913,Capital Markets,error,,952473600,11:10,1650672128,43114.45059515274,1641299968,0.00389,0,0.48,1.8146532,0.034731176,0.00291,1.066,0.00834,0.15806,0.551,2470.063,14.040000915527344,1.4230765259739024,0.8638976210886575,-0.2857134662268751,19947700,3.08,,11907500032,591.46,8252000256,47527100416,,,error,14.416377,1.165767739574907,0.7623696752934308,0.5545487294655458
